id_venta,fecha,producto,categoria,precio,cantidad,ventas
177,2024-06-25,Teclado,Accesorios,1262.56,8,10100.48
178,2024-06-26,Laptop,Accesorios,1176.94,6,7061.64
179,2024-06-27,Impresora,Accesorios,1804.29,5,
180,2024-06-28,Laptop,Accesorios,109.98,9,989.82
181,2024-06-29,Laptop,Tecnología,576.31,1,576.31
182,2024-06-30,Teclado,Accesorios,1901.81,5,9509.05
183,2024-07-01,Laptop,Accesorios,1782.72,6,10696.32
184,2024-07-02,Mouse,Oficina,922.2,5,4611.0
185,2024-07-03,Mouse,Accesorios,1247.86,6,
186,2024-07-04,Monitor,Oficina,569.21,6,3415.26
187,2024-07-05,Impresora,Tecnología,392.48,7,2747.36
188,2024-07-06,Laptop,Tecnología,938.12,4,3752.48
189,2024-07-07,Laptop,Tecnología,719.64,8,5757.12
190,2024-07-08,Teclado,Tecnología,1175.64,7,8229.480000000001
191,2024-07-09,Mouse,Oficina,173.91,9,1565.19
192,2024-07-10,Impresora,Accesorios,1949.3,7,13645.1
193,2024-07-11,Monitor,Tecnología,1972.7,3,5918.1
194,2024-07-12,Mouse,Accesorios,1402.36,3,4207.08
195,2024-07-13,Monitor,Oficina,1081.47,8,8651.76
196,2024-07-14,Teclado,Oficina,632.86,5,3164.3
197,2024-07-15,Teclado,Oficina,1631.31,4,6525.24
198,2024-07-16,Laptop,Tecnología,1375.77,8,11006.16
199,2024-07-17,Impresora,Accesorios,341.98,6,2051.88
200,2024-07-18,Monitor,Accesorios,1823.64,2,3647.28
175,2024-06-23,Monitor,Accesorios,1397.58,4,5590.32
99,2024-04-08,Mouse,Oficina,1793.14,7,12551.980000000001
102,2024-04-11,Laptop,Tecnología,1812.66,4,7250.64
186,2024-07-04,Monitor,Oficina,569.21,6,3415.26
80,2024-03-20,Monitor,Oficina,578.43,8,4627.44
